0.001900705 127.0.0.1:6633 127.0.0.1:44814 32 0x671eba90 0x671eba40 10 2147483647 44032 2 46080
0.043257546 10.0.0.2:57941 10.0.0.3:5001 32 0x2a7fd5d1 0x2a7f9799 11 2147483647 29184 2 29696
0.043346870 10.0.0.1:51216 10.0.0.3:5001 32 0xe7773853 0xe7770553 10 2147483647 28960 2 29696
0.043360428 10.0.0.1:51216 10.0.0.3:5001 32 0xe77743a3 0xe777056b 11 2147483647 29184 1 29696
0.045553466 10.0.0.3:5001 10.0.0.1:51216 2928 0x5c97be03 0x5c97be03 10 2147483647 29696 1 34816
0.046587727 10.0.0.2:57941 10.0.0.3:5001 32 0x2a7fec71 0x2a7fa2e9 13 2147483647 34816 2 29696
0.048058067 10.0.0.3:5001 10.0.0.2:57941 2928 0x7d2a116d 0x7d2a116d 10 2147483647 29696 2 40960
0.051593435 10.0.0.2:57941 10.0.0.3:5001 32 0x2a800311 0x2a7fae39 15 2147483647 40960 2 29696
0.052971858 10.0.0.3:5001 10.0.0.2:57941 2928 0x7d2a116d 0x7d2a116d 10 2147483647 29696 2 46592
0.056326708 10.0.0.2:57941 10.0.0.3:5001 32 0x2a8019b1 0x2a7fb989 17 2147483647 46592 2 29696
0.057738796 10.0.0.3:5001 10.0.0.2:57941 1480 0x7d2a116d 0x7d2a116d 10 2147483647 29696 2 52224
0.061096303 10.0.0.2:57941 10.0.0.3:5001 32 0x2a803051 0x2a7fc4d9 19 2147483647 52224 2 29696
0.062587435 10.0.0.3:5001 10.0.0.1:51216 2928 0x5c97be03 0x5c97be03 10 2147483647 29696 1 55296
0.064380072 10.0.0.2:57941 10.0.0.3:5001 32 0x2a803ba1 0x2a7fca81 20 2147483647 55296 3 29696
0.065007117 10.0.0.3:5001 10.0.0.2:57941 2928 0x7d2a116d 0x7d2a116d 10 2147483647 29696 2 60928
0.065601213 10.0.0.1:51216 10.0.0.3:5001 32 0xe777a973 0xe7773853 20 2147483647 55296 3 29696
0.067408649 10.0.0.3:5001 10.0.0.1:51216 2928 0x5c97be03 0x5c97be03 10 2147483647 29696 1 60928
0.068467986 10.0.0.2:57941 10.0.0.3:5001 32 0x2a805241 0x2a7fd5d1 22 2147483647 60928 3 29696
0.069831288 10.0.0.3:5001 10.0.0.2:57941 2928 0x7d2a116d 0x7d2a116d 10 2147483647 29696 2 67072
0.073248129 10.0.0.2:57941 10.0.0.3:5001 32 0x2a8068e1 0x2a7fe121 24 2147483647 67072 4 29696
